Timestamp,Humidity (%),Temperature (°C),Rain (mm/min)
12/23/2024 5:00,75.7,26.6,0
12/23/2024 5:00,78.3,28.2,0
12/23/2024 5:00,70.6,26.4,0
12/23/2024 5:00,79.7,26.5,0
12/23/2024 5:00,85.5,27.6,0
12/23/2024 5:00,75.8,27.7,0
12/23/2024 5:00,70.1,28.2,0
12/23/2024 5:00,79.5,28,0
12/23/2024 5:00,77.3,28,0
12/23/2024 5:00,73.2,27.2,0
12/23/2024 5:00,71.6,26.7,0
12/23/2024 5:00,73.7,27.4,0
12/23/2024 5:01,68.8,26.9,0
12/23/2024 5:01,80.4,26.1,0
12/23/2024 5:01,81.3,26.1,0
12/23/2024 5:01,73.5,26.5,0
12/23/2024 5:01,81.3,26.9,0
12/23/2024 5:01,77.9,27.8,0
12/23/2024 5:01,77.5,27.3,0
12/23/2024 5:01,79.8,26.7,0
12/23/2024 5:01,82.3,28.2,0
12/23/2024 5:01,68.6,26.7,0
12/23/2024 5:01,75.4,28.4,0
12/23/2024 5:01,69.2,26.6,0
12/23/2024 5:02,74.3,27.2,0
12/23/2024 5:02,71.8,27.6,0
12/23/2024 5:02,71.8,26.7,0
12/23/2024 5:02,82,27.1,0
12/23/2024 5:02,70.3,26.8,0
12/23/2024 5:02,67.2,26.9,0
12/23/2024 5:02,83.4,26.6,0
12/23/2024 5:02,74.4,26.8,0
12/23/2024 5:02,82.7,28.1,0
12/23/2024 5:02,85,27.7,0
12/23/2024 5:02,79.9,26.4,0
12/23/2024 5:02,71.4,27.5,0
12/23/2024 5:03,79.4,27.2,0
12/23/2024 5:03,77,27.6,0
12/23/2024 5:03,67.3,27.6,0
12/23/2024 5:03,80.8,26.1,0
12/23/2024 5:03,72.2,26.5,0
12/23/2024 5:03,83.8,27.7,0
12/23/2024 5:03,72.7,26.3,0
12/23/2024 5:03,75.9,27.6,0
12/23/2024 5:03,73.8,28.3,0
12/23/2024 5:03,79.5,27.3,0
12/23/2024 5:03,77.2,26.7,0
12/23/2024 5:03,71.1,27.2,0
12/23/2024 5:04,85.1,27.6,0
12/23/2024 5:04,68.5,28.3,0
12/23/2024 5:04,70.7,27.1,0
12/23/2024 5:04,71.1,28,0
12/23/2024 5:04,83.1,28.2,0
12/23/2024 5:04,72,27.1,0
12/23/2024 5:04,81.1,27.5,0
12/23/2024 5:04,86,27.1,0
12/23/2024 5:04,83.7,27.1,0
12/23/2024 5:04,83.8,27.5,0
12/23/2024 5:04,80.6,27.5,0
12/23/2024 5:04,67.8,26.9,0
12/23/2024 5:05,82.1,28.5,0
12/23/2024 5:05,74.3,27.9,0
12/23/2024 5:05,78,26.4,0
12/23/2024 5:05,79.5,26.2,0
12/23/2024 5:05,70.2,26.2,0
12/23/2024 5:05,72.2,28.1,0
12/23/2024 5:05,75.7,28,0
12/23/2024 5:05,80.3,28.4,0
12/23/2024 5:05,70.4,27.8,0
12/23/2024 5:05,76.2,27.2,0
12/23/2024 5:05,77.5,26.8,0
12/23/2024 5:05,84.5,27.4,0
12/23/2024 5:06,81.3,26.2,0
12/23/2024 5:06,78.8,28.3,0
12/23/2024 5:06,80.7,28.5,0
12/23/2024 5:06,82.6,26.8,0
12/23/2024 5:06,78.1,27.6,0
12/23/2024 5:06,84.4,27.2,0
12/23/2024 5:06,82.7,26.5,0
12/23/2024 5:06,73.1,27.5,0
12/23/2024 5:06,68,26,0
12/23/2024 5:06,68.2,26.7,0
12/23/2024 5:06,79.6,28.2,0
12/23/2024 5:06,85.4,26.6,0
12/23/2024 5:07,80.4,27.7,0
12/23/2024 5:07,80.6,27.3,0
12/23/2024 5:07,80.8,27.1,0
12/23/2024 5:07,78.3,26.4,0
12/23/2024 5:07,69.8,28,0
12/23/2024 5:07,68.5,26.2,0
12/23/2024 5:07,72.7,27.1,0
12/23/2024 5:07,77.9,26.5,0
12/23/2024 5:07,84.2,27,0
12/23/2024 5:07,81.2,26.9,0
12/23/2024 5:07,75.6,26.3,0
12/23/2024 5:07,84.2,26.9,0
12/23/2024 5:08,77.6,28,0
12/23/2024 5:08,73.1,28.3,0
12/23/2024 5:08,67.4,27.2,0
12/23/2024 5:08,79.8,26.4,0
12/23/2024 5:08,74.8,26.6,0
12/23/2024 5:08,83.9,26.9,0
12/23/2024 5:08,83.5,26.1,0
12/23/2024 5:08,76.1,26.4,0
12/23/2024 5:08,77.3,27.4,0
12/23/2024 5:08,71,26.9,0
12/23/2024 5:08,72.6,27.2,0
12/23/2024 5:08,77.9,27.3,0
12/23/2024 5:09,71.7,27.4,0
12/23/2024 5:09,73.8,26.2,0
12/23/2024 5:09,81.5,28.4,0
12/23/2024 5:09,83.6,27.8,0
12/23/2024 5:09,67.8,27.5,0
12/23/2024 5:09,84.1,28.4,0
12/23/2024 5:09,76.4,27.7,0
12/23/2024 5:09,69.6,28.1,0
12/23/2024 5:09,73.5,27.3,0
12/23/2024 5:09,84.6,27.7,0
12/23/2024 5:09,78.9,28.1,0
12/23/2024 5:09,71.2,27.6,0
12/23/2024 5:10,76.7,26.8,0
12/23/2024 5:10,83.9,27.5,0
12/23/2024 5:10,77.7,27.5,0
12/23/2024 5:10,80.6,27,0
12/23/2024 5:10,84.3,26.2,0
12/23/2024 5:10,67.9,26,0
12/23/2024 5:10,78.8,27.4,0
12/23/2024 5:10,79.3,26.4,0
12/23/2024 5:10,69.1,28,0
12/23/2024 5:10,77.6,27.4,0
12/23/2024 5:10,75.6,27.1,0
12/23/2024 5:10,81.3,26.7,0
12/23/2024 5:11,80.7,27.3,0
12/23/2024 5:11,68.9,26.5,0
12/23/2024 5:11,78.1,27.6,0
12/23/2024 5:11,72.5,27.7,0
12/23/2024 5:11,82.4,28,0
12/23/2024 5:11,84.2,27,0
12/23/2024 5:11,70.2,27.3,0
12/23/2024 5:11,70,27.8,0
12/23/2024 5:11,75.4,26.5,0
12/23/2024 5:11,68.2,26.6,0
12/23/2024 5:11,73.9,26.9,0
12/23/2024 5:11,76.5,26.7,0
12/23/2024 5:12,70.6,26.2,0
12/23/2024 5:12,67.5,27.7,0
12/23/2024 5:12,68.1,27.8,0
12/23/2024 5:12,76.3,27.2,0
12/23/2024 5:12,70.1,28.1,0
12/23/2024 5:12,70.7,27.7,0
12/23/2024 5:12,85.9,26.1,0
12/23/2024 5:12,76.2,26.8,0
12/23/2024 5:12,68,26.5,0
12/23/2024 5:12,77.7,27,0
12/23/2024 5:12,71,27.2,0
12/23/2024 5:12,81.2,27.3,0
12/23/2024 5:13,70,27.3,0
12/23/2024 5:13,79.5,26.4,0
12/23/2024 5:13,71.7,27.1,0
12/23/2024 5:13,70.3,28.1,0
12/23/2024 5:13,69.7,26.2,0
12/23/2024 5:13,73.6,28.2,0
12/23/2024 5:13,83.9,28.4,0
12/23/2024 5:13,77.7,27.1,0
12/23/2024 5:13,70.7,26.2,0
12/23/2024 5:13,67.1,27.5,0
12/23/2024 5:13,78.9,28.1,0
12/23/2024 5:13,82.9,27,0
12/23/2024 5:14,76.5,27.8,0
12/23/2024 5:14,67.9,27.9,0
12/23/2024 5:14,75.2,26.8,0
12/23/2024 5:14,69.8,27,0
12/23/2024 5:14,83.7,26.4,0
12/23/2024 5:14,73.4,27.5,0
12/23/2024 5:14,76,28.3,0
12/23/2024 5:14,70,27,0
12/23/2024 5:14,72.5,28.3,0
12/23/2024 5:14,82,27.9,0
12/23/2024 5:14,77.2,28.4,0
12/23/2024 5:14,79.5,27.2,0
12/23/2024 5:15,70.3,28.4,0
12/23/2024 5:15,72.2,26.9,0
12/23/2024 5:15,68,28.4,0
12/23/2024 5:15,82.7,26.2,0
12/23/2024 5:15,68.8,27.6,0
12/23/2024 5:15,69.6,27.8,0
12/23/2024 5:15,78.7,26.3,0
12/23/2024 5:15,69.5,26.4,0
12/23/2024 5:15,84.8,26.8,0
12/23/2024 5:15,77,27.6,0
12/23/2024 5:15,85.3,26.8,0
12/23/2024 5:15,75.1,26.9,0
12/23/2024 5:16,86,27.5,0
12/23/2024 5:16,85.9,28.4,0
12/23/2024 5:16,72.8,27.6,0
12/23/2024 5:16,81.2,27.3,0
12/23/2024 5:16,76.8,27.6,0
