time,temperature,humidity,rain
2024-12-23 05:00:00,20,50,0.0
2024-12-23 05:00:05,22,51,0.5
2024-12-23 05:00:10,24,52,1.0
2024-12-23 05:00:15,26,53,0.0
2024-12-23 05:00:20,28,54,0.5
2024-12-23 05:00:25,20,55,1.0
2024-12-23 05:00:30,22,56,0.0
2024-12-23 05:00:35,24,57,0.5
2024-12-23 05:00:40,26,58,1.0
2024-12-23 05:00:45,28,59,0.0
2024-12-23 05:00:50,20,50,0.5
2024-12-23 05:00:55,22,51,1.0
2024-12-23 05:01:00,24,52,0.0
2024-12-23 05:01:05,26,53,0.5
2024-12-23 05:01:10,28,54,1.0
2024-12-23 05:01:15,20,55,0.0
2024-12-23 05:01:20,22,56,0.5
2024-12-23 05:01:25,24,57,1.0
2024-12-23 05:01:30,26,58,0.0
2024-12-23 05:01:35,28,59,0.5
2024-12-23 05:01:40,20,50,1.0
2024-12-23 05:01:45,22,51,0.0
2024-12-23 05:01:50,24,52,0.5
2024-12-23 05:01:55,26,53,1.0
2024-12-23 05:02:00,28,54,0.0
2024-12-23 05:02:05,20,55,0.5
2024-12-23 05:02:10,22,56,1.0
2024-12-23 05:02:15,24,57,0.0
2024-12-23 05:02:20,26,58,0.5
2024-12-23 05:02:25,28,59,1.0
2024-12-23 05:02:30,20,50,0.0
2024-12-23 05:02:35,22,51,0.5
2024-12-23 05:02:40,24,52,1.0
2024-12-23 05:02:45,26,53,0.0
2024-12-23 05:02:50,28,54,0.5
2024-12-23 05:02:55,20,55,1.0
2024-12-23 05:03:00,22,56,0.0
2024-12-23 05:03:05,24,57,0.5
2024-12-23 05:03:10,26,58,1.0
2024-12-23 05:03:15,28,59,0.0
2024-12-23 05:03:20,20,50,0.5
2024-12-23 05:03:25,22,51,1.0
2024-12-23 05:03:30,24,52,0.0
2024-12-23 05:03:35,26,53,0.5
2024-12-23 05:03:40,28,54,1.0
2024-12-23 05:03:45,20,55,0.0
2024-12-23 05:03:50,22,56,0.5
2024-12-23 05:03:55,24,57,1.0
2024-12-23 05:04:00,26,58,0.0
2024-12-23 05:04:05,28,59,0.5
2024-12-23 05:04:10,20,50,1.0
2024-12-23 05:04:15,22,51,0.0
2024-12-23 05:04:20,24,52,0.5
2024-12-23 05:04:25,26,53,1.0
2024-12-23 05:04:30,28,54,0.0
2024-12-23 05:04:35,20,55,0.5
2024-12-23 05:04:40,22,56,1.0
2024-12-23 05:04:45,24,57,0.0
2024-12-23 05:04:50,26,58,0.5
2024-12-23 05:04:55,28,59,1.0
2024-12-23 05:05:00,20,50,0.0
2024-12-23 05:05:05,22,51,0.5
2024-12-23 05:05:10,24,52,1.0
2024-12-23 05:05:15,26,53,0.0
2024-12-23 05:05:20,28,54,0.5
2024-12-23 05:05:25,20,55,1.0
2024-12-23 05:05:30,22,56,0.0
2024-12-23 05:05:35,24,57,0.5
2024-12-23 05:05:40,26,58,1.0
2024-12-23 05:05:45,28,59,0.0
2024-12-23 05:05:50,20,50,0.5
2024-12-23 05:05:55,22,51,1.0
2024-12-23 05:06:00,24,52,0.0
2024-12-23 05:06:05,26,53,0.5
2024-12-23 05:06:10,28,54,1.0
2024-12-23 05:06:15,20,55,0.0
2024-12-23 05:06:20,22,56,0.5
2024-12-23 05:06:25,24,57,1.0
2024-12-23 05:06:30,26,58,0.0
2024-12-23 05:06:35,28,59,0.5
2024-12-23 05:06:40,20,50,1.0
2024-12-23 05:06:45,22,51,0.0
2024-12-23 05:06:50,24,52,0.5
2024-12-23 05:06:55,26,53,1.0
2024-12-23 05:07:00,28,54,0.0
2024-12-23 05:07:05,20,55,0.5
2024-12-23 05:07:10,22,56,1.0
